customer_id,name,age,region,plan,signup_date,support_tickets,nps_score,churned
C00001,Brenda Alves,56,Centro-Oeste,Pro,2022-08-31,1,8,0
C00002,Sra. Isabelly Câmara,69,Nordeste,Pro,2022-10-21,0,6,0
C00003,Cauã Rocha,46,Centro-Oeste,Basic,2021-01-02,2,5,0
C00004,Dra. Aurora Pastor,32,Nordeste,Basic,2023-10-31,0,6,0
C00005,Ana Beatriz Alves,60,Sudeste,Basic,2022-03-10,0,7,0
C00006,Henrique da Conceição,25,Norte,Enterprise,2021-05-05,3,0,0
C00007,Amanda Novais,38,Nordeste,Basic,2022-04-30,2,7,1
C00008,Yago Leão,56,Sul,Enterprise,2022-10-14,3,2,0
C00009,Pietro Pastor,36,Sul,Basic,2023-03-11,1,2,1
C00010,André Teixeira,40,Nordeste,Enterprise,2023-05-23,1,5,0
C00011,Otávio Fernandes,28,Nordeste,Enterprise,2021-05-09,2,3,0
C00012,Eduardo Cunha,28,Nordeste,Basic,2022-03-14,4,3,1
C00013,Sr. Caleb Garcia,41,Sul,Pro,2023-01-21,3,3,0
C00014,Luiz Henrique Ferreira,53,Sul,Basic,2022-05-16,1,9,0
C00015,Julia Aparecida,57,Nordeste,Pro,2023-12-18,4,8,0
C00016,Sra. Zoe Campos,41,Centro-Oeste,Basic,2021-07-30,1,7,0
C00017,Anna Liz Novaes,20,Centro-Oeste,Basic,2023-06-21,3,2,0
C00018,Luiz Miguel Oliveira,39,Sudeste,Basic,2021-02-14,1,0,0
C00019,Bernardo Aparecida,19,Norte,Basic,2022-06-19,1,0,1
C00020,Heloísa Vargas,41,Centro-Oeste,Basic,2022-04-06,2,0,0
C00021,Bruno da Conceição,61,Sul,Pro,2022-01-26,3,3,0
C00022,Mateus da Mota,47,Centro-Oeste,Enterprise,2023-12-04,1,5,1
C00023,Maria Clara Castro,55,Sudeste,Basic,2021-01-27,3,3,0
C00024,Dr. Gustavo Henrique Rios,19,Sudeste,Pro,2023-03-05,2,10,0
C00025,Brayan Pereira,38,Norte,Basic,2023-09-02,2,10,0
C00026,Eloá Nascimento,50,Centro-Oeste,Pro,2022-07-02,2,2,0
C00027,Srta. Elisa Martins,29,Sul,Enterprise,2022-09-13,0,7,0
C00028,Júlia Porto,39,Sul,Enterprise,2022-07-21,5,7,0
C00029,Dra. Hellena Rodrigues,61,Nordeste,Enterprise,2022-12-05,2,5,0
C00030,Sr. Ian Andrade,42,Sul,Basic,2021-07-04,2,8,1
C00031,Dr. João Felipe Azevedo,66,Norte,Pro,2023-12-29,0,9,0
C00032,Levi Cunha,44,Norte,Pro,2023-04-28,4,0,0
C00033,Sara Gonçalves,59,Sul,Basic,2022-08-22,1,7,0
C00034,Natália Casa Grande,45,Sul,Enterprise,2023-03-17,1,5,0
C00035,Davi Miguel da Cruz,33,Nordeste,Basic,2021-03-20,5,0,0
C00036,Dra. Zoe da Luz,32,Sul,Pro,2022-08-02,0,3,0
C00037,Dra. Mariane Pacheco,64,Nordeste,Basic,2022-02-17,2,4,0
C00038,Maria Cecília Câmara,68,Nordeste,Basic,2022-06-30,1,6,1
C00039,Thomas Monteiro,61,Sul,Pro,2021-06-18,3,7,0
C00040,Benicio Camargo,69,Sudeste,Pro,2022-11-12,2,8,0
C00041,Emanuel Vieira,20,Sudeste,Basic,2022-08-06,5,5,0
C00042,Mariana Peixoto,54,Nordeste,Basic,2022-05-30,3,9,0
C00043,Matheus Garcia,68,Sul,Pro,2021-02-01,2,8,0
C00044,Nina Moura,24,Sudeste,Basic,2021-10-14,2,3,0
C00045,Yuri Albuquerque,38,Sul,Basic,2022-08-17,1,7,1
C00046,Bruna Rodrigues,26,Sul,Enterprise,2023-12-03,0,2,0
C00047,Juliana Vargas,56,Sul,Pro,2022-09-09,1,3,0
C00048,Manuela Camargo,35,Centro-Oeste,Basic,2023-10-22,3,9,0
C00049,Pedro Henrique Castro,21,Sul,Pro,2021-09-27,1,3,1
C00050,Agatha Silveira,42,Centro-Oeste,Pro,2022-06-02,1,5,0
C00051,Sra. Sarah Teixeira,31,Nordeste,Enterprise,2023-10-31,0,8,0
C00052,Thiago Caldeira,67,Sudeste,Pro,2022-08-06,2,5,0
C00053,Letícia Porto,26,Sudeste,Basic,2021-08-14,3,0,0
C00054,Fernanda Cassiano,43,Sudeste,Basic,2022-11-01,4,4,0
C00055,Sr. Vitor Hugo Vasconcelos,19,Sudeste,Basic,2023-07-06,2,8,0
